"","city","state","postal_code","latitude","longitude","stars","review_count","categories","OpenSundays","Open7days","checkedin100","BusinessAcceptsCreditCards","RestaurantsTakeOut","RestaurantsPriceRange2","RestaurantsReservations","RestaurantsDelivery","GoodForKids","OutdoorSeating","RestaurantsAttire","garage","street","validated","lot","valet","WiFi","NoiseLevel","Caters","dessert","latenight","lunch","dinner","brunch","breakfast"
"94","Charlotte","NC",28277,35.096737,-80.778558,3.5,134,"Coffee & Tea, Cafes","yes","yes","yes","True","True","2","False","False","True","True","casual","False","False","False","True","False","no","average","True","False","False","True","False","True","True"
"95","Charlotte","NC",28216,35.3466584621,-80.8608346287,2.5,106,"American (Traditional), Nightlife","yes","yes","yes","True","True","2","False","False","True","True","casual","False","False","False","True","False","free","loud","False","False","False","True","True","False","False"
"96","Charlotte","NC",28211,35.1522311,-80.8318968,2.5,3,"Coffee & Tea, Cafes","yes","yes","no","True","True","1","False","False","True","False","casual","False","False","False","True","False","no","average","False","False","False","False","False","False","True"
"97","Charlotte","NC",28269,35.3339911,-80.7919652,3.5,55,"Sandwiches, Fast Food","yes","yes","yes","True","True","1","False","True","True","True","casual","False","False","False","True","False","no","average","True","False","False","True","False","False","False"
"98","Charlotte","NC",28208,35.2244478,-80.887181,4,16,"Fast Food, American (Traditional)","yes","no","yes","True","True","1","False","False","True","True","casual","False","False","False","True","False","no","quiet","False","True","False","False","True","False","False"
"99","Middleton","WI",53562,43.0962004007,-89.5136945802,3.5,114,"Fast Food, American (Traditional)","no","no","yes","True","True","2","True","False","True","False","casual","False","True","False","True","False","no","average","True","False","False","True","True","False","False"
"100","Champaign","IL",61820,40.118679,-88.244834,4,263,"Nightlife, Bars","yes","yes","yes","True","True","2","False","False","True","False","casual","True","True","False","False","False","no","average","True","False","False","True","True","False","False"
"101","Cornelius","NC",28031,35.4803328,-80.8868747,3.5,13,"Sandwiches, Fast Food","yes","yes","no","True","True","1","False","True","True","True","casual","False","False","False","False","False","free","average","True","False","False","False","False","False","False"
"102","Madison","WI",53711,43.064652,-89.416998,4.5,61,"Coffee & Tea, Cafes","yes","yes","yes","True","True","1","False","False","True","False","casual","False","True","False","False","False","free","average","True","False","False","False","False","False","False"
"103","Charlotte","NC",28216,35.3258902,-80.9463896,3.5,27,"Fast Food, American (Traditional)","yes","yes","no","True","True","1","False","False","True","False","casual","False","False","False","True","False","no","quiet","False","False","False","True","True","False","False"
"104","Madison","WI",53703,43.074799,-89.396267,3.5,94,"Fast Food, American (Traditional)","yes","yes","yes","False","True","1","False","False","True","True","casual","True","False","False","False","False","no","average","False","False","False","True","True","False","False"
"105","Madison","WI",53704,43.124856371,-89.3101472672,4,235,"Fast Food, American (Traditional)","yes","yes","yes","True","True","2","True","False","True","False","casual","False","False","False","True","False","free","average","True","False","False","True","True","False","False"
"106","Charlotte","NC",28203,35.200406,-80.8690417,3.5,22,"Coffee & Tea, Cafes","yes","yes","no","True","False","2","False","False","True","True","casual","False","True","False","True","False","free","average","False","False","True","True","True","False","False"
"107","Madison","WI",53713,43.0468733,-89.3547604,4,74,"American (Traditional), Nightlife","yes","no","yes","True","True","2","False","False","True","True","casual","False","True","False","True","False","free","average","False","False","False","True","True","False","False"
"108","Fitchburg","WI",53711,43.0166386,-89.4234906,3,27,"Fast Food, American (Traditional)","no","no","no","True","True","2","True","False","False","False","casual","False","False","False","True","False","free","quiet","True","False","False","False","False","True","False"
"109","Waunakee","WI",53597,43.194849,-89.4611999,2.5,36,"Fast Food, American (Traditional)","yes","yes","no","True","True","2","True","False","True","False","casual","False","False","False","True","False","free","average","True","False","False","True","False","False","False"
"110","Champaign","IL",61820,40.0846950551,-88.2462913487,2,6,"Sandwiches, Fast Food","yes","yes","no","True","True","1","False","False","True","False","casual","False","False","False","False","False","free","average","False","False","False","False","False","False","False"
"111","Charlotte","NC",28262,35.29543,-80.75521,1.5,23,"Fast Food, American (Traditional)","yes","yes","no","True","True","1","False","False","True","True","formal","False","False","False","True","False","paid","average","False","False","True","True","False","False","True"
"112","Verona","WI",53593,42.9875525,-89.5346304,3,7,"American (Traditional), Nightlife","yes","yes","no","False","True","1","False","False","False","False","casual","False","False","False","True","False","free","very_loud","False","False","False","False","True","False","False"
"113","Charlotte","NC",28205,35.2200929,-80.8156233,3.5,66,"Southern, Breakfast & Brunch","yes","yes","yes","True","True","2","True","False","True","True","casual","False","False","False","True","False","free","loud","True","False","False","False","True","False","False"
"114","Windsor","WI",53598,43.1934723,-89.339526,4,62,"Fast Food, American (Traditional)","yes","yes","no","True","True","2","True","False","True","False","casual","False","False","False","True","False","free","average","False","False","False","True","True","False","False"
"115","Davidson","NC",28036,35.5059572,-80.8673773,4,28,"Nightlife, Bars","yes","yes","no","True","False","2","True","False","False","True","casual","False","False","False","True","False","free","quiet","False","False","False","True","True","False","False"
"116","Waxhaw","NC",28173,34.9336748,-80.7501088,3.5,71,"Fast Food, American (Traditional)","yes","yes","yes","True","True","2","False","False","True","True","casual","False","False","False","False","False","free","average","True","False","False","True","True","False","False"
"117","Cornelius","NC",28031,35.4822491,-80.8803029,3,16,"Sandwiches, Fast Food","yes","yes","no","True","True","1","False","False","True","False","casual","False","False","False","False","False","no","loud","False","False","False","False","False","False","False"
"118","Madison","WI",53705,43.070914,-89.4522796,3.5,218,"American (Traditional), Nightlife","yes","yes","yes","True","True","2","True","False","True","True","casual","False","False","False","True","False","free","average","False","False","False","True","True","False","False"
"119","Madison","WI",53715,43.053124,-89.39625,3.5,67,"Fast Food, American (Traditional)","yes","yes","no","True","True","2","True","True","True","False","casual","False","True","False","True","False","free","average","True","False","False","True","True","False","False"
"120","Charlotte","NC",28208,35.2240066,-80.8976778,2,7,"Fast Food, American (Traditional)","yes","yes","no","True","True","1","False","False","True","False","casual","False","False","False","False","False","free","very_loud","False","False","False","False","False","False","False"
"121","Charlotte","NC",28277,35.0226467,-80.8468114,3.5,31,"Fast Food, American (Traditional)","yes","yes","no","True","True","1","False","True","True","False","casual","False","False","False","False","False","no","quiet","True","False","False","False","True","False","False"
"122","Charlotte","NC",28277,35.068661392,-80.8411020633,4,195,"Fast Food, American (Traditional)","yes","yes","yes","True","True","2","True","False","True","True","casual","False","True","False","True","False","free","average","True","False","False","False","True","False","False"
"123","Charlotte","NC",28262,35.280399,-80.794036,3.5,51,"Southern, Breakfast & Brunch","yes","yes","yes","True","True","1","False","False","True","False","casual","False","False","False","True","False","free","average","True","False","False","True","True","False","False"
"124","Charlotte","NC",28262,35.3078037,-80.7542218,2,121,"American (Traditional), Nightlife","yes","yes","yes","True","True","2","False","False","True","True","casual","False","False","False","True","False","free","very_loud","False","False","False","True","True","False","False"
"125","Champaign","IL",61821,40.133549,-88.260065,3,32,"Southern, Breakfast & Brunch","yes","yes","no","True","True","1","False","False","True","False","casual","False","False","False","False","False","no","loud","True","False","False","False","False","False","False"
"126","Charlotte","NC",28277,35.061201041,-80.8142977742,2.5,41,"Fast Food, American (Traditional)","yes","yes","no","True","True","1","False","False","True","True","casual","False","False","False","False","False","no","average","True","False","False","False","False","False","False"
"127","Charlotte","NC",28027,35.3629755,-80.711826,3.5,28,"Nightlife, Bars","yes","yes","no","True","True","2","True","True","True","True","casual","False","False","False","False","False","free","quiet","True","False","False","False","False","False","False"
